集团员工内部用餐点餐平台,,,
模块分类,子功能,功能描述,使用角色
菜单管理,菜品管理,录入食堂的菜品（包括图片、分类），有上下架功能,系统管理员/食堂人员
,菜单管理,根据食堂的上架菜品，数量，可设置每日餐次（早餐/午餐/晚餐）的菜单及菜品的数量,系统管理员/食堂人员
员工点餐,选择食堂,选择食堂，进入点餐界面,员工
,当日菜单查看,查看选择的食堂的当日菜品列表,员工
,即时点餐,当天餐次点餐时限内可实时点餐。早餐7:30前，中餐11:00前，晚餐17:00前,员工
,订单确认,员工确认所点菜品与数量，无支付流程，每一个餐次只能有一次订单，不能重复,员工
,点餐日历视图,"不仅是当天, 在点餐首页展示未来几天可预订的餐次日历，方便员工规划",员工
订单管理,我的订单,员工查看订单详情、状态（订单状态：已下单、已取消、已完成）、餐次,员工
,订单修改,在点餐截止时间前，允许员工修改已提交订单的菜品或数量。,员工
,取消订单,在截止时间前可取消,员工
,全部订单列表,食堂按餐次查看所有员工订单,食堂
,餐次统计,按菜品/数量/员工汇总订单，用于备餐,系统管理员/食堂人员
后厨与备餐,备餐看板,按菜品展示订单数量，辅助备餐,食堂
,实时库存扣减,点餐后自动扣减可用数量,食堂
评价与反馈,菜品评分,员工对菜品进行1-5分的评分，系统管理员可查看每道菜品的评分情况,员工/系统管理员
,意见反馈,员工提交反馈建议，系统管理员可查看所有反馈信息,员工/系统管理员
系统管理,食堂管理,可新增、编辑、删除食堂,系统管理员
,食堂人员管理,可新增、编辑、删除食堂人员，关联食堂人员与食堂,系统管理员
,用户管理,可新增、编辑、禁用、启用用户，设置员工所属部门,系统管理员
,部门/组织架构,组织管理,系统管理员
